frame, ROI found, ROI location, ROI size 
915,1,352_80 ,339_339 
916,1,373_83 ,327_327 
917,1,386_86 ,322_322 
918,1,409_87 ,312_312 
919,1,426_95 ,309_309 
920,1,448_104 ,299_299 
921,1,467_99 ,294_294 
922,1,480_104 ,290_290 
923,1,498_110 ,279_279 
924,1,514_116 ,270_270 
925,1,527_122 ,270_270 
926,1,537_130 ,268_268 
927,1,545_134 ,261_261 
928,1,558_145 ,249_249 
929,1,566_148 ,250_250 
930,1,572_156 ,246_246 
931,1,580_165 ,240_240 
932,1,587_174 ,231_231 
933,1,588_178 ,229_229 
934,1,589_182 ,231_231 
935,1,591_187 ,227_227 
936,1,592_195 ,223_223 
937,1,592_200 ,221_221 
938,1,589_203 ,218_218 
939,1,587_204 ,216_216 
940,1,585_208 ,215_215 
941,1,582_208 ,215_215 
942,1,579_208 ,214_214 
943,1,577_207 ,213_213 
944,1,573_208 ,214_214 
945,1,569_206 ,215_215 
946,1,568_207 ,211_211 
947,1,566_207 ,210_210 
948,1,563_206 ,210_210 
949,1,562_207 ,207_207 
950,1,556_203 ,217_217 
951,1,555_202 ,217_217 
952,1,554_200 ,217_217 
953,1,551_198 ,219_219 
954,1,550_198 ,218_218 
955,1,548_198 ,217_217 
